"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"Twater3","[deg K]","Waterbody temperature (March)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater03"
,,,"Twater4","[deg K]","Waterbody temperature (April)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater04"
,,,"Twater5","[deg K]","Waterbody temperature (May)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater05"
,,,"Twater6","[deg K]","Waterbody temperature (June)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater06"
,,,"Twater7","[deg K]","Waterbody temperature (July)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater07"
,,,"Twater8","[deg K]","Waterbody temperature (August)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater08"
,,,"Twater9","[deg K]","Waterbody temperature (September)","Specific",,,,,,"",,"Fate_constant:Regional",0,"Twater09"
,,,"U","[m/sec]","Current velocity","Specific",,,,,,"",,"Fate_constant:Constant",0,"U"
,,,"uw","[m/sec]","Mean annual wind speed","Specific",,,,,,"",,"Fate_constant:Regional",0,"uw"
,,,"veg","[fraction]","Fraction vegetative cover (field)","Specific",,,,,,"",,"Fate_constant:Distn",0,"veg"
,,,"VolBed_3","[m3]","Volume of sediment compartment (index reservoir)","Specific",,,,,,"",,"Fate_constant:Derived",0,"VolBed_reserv"
,,,"VolWC_3","[m3]","Volume of water column (index reservoir)","Specific",,,,,,"",,"Fate_constant:Derived",0,"VolWC_reserv"
,,,"Vs_WB","[m/day]","Settling velocity (suspended solids in waterbody)","Specific",,,,,,"",,"Fate_constant:Distn",0,"Vs_WB"
,,,"vw","[MT]","Vehicle weight","2.1",,,,,,"",,"Fate_constant:Constant",0,"vw"
,,,"WCP","[fraction]","Porosity (water column)","Specific",,,,,,"","Based on low TSS concentration in the water column","Fate_constant:Constant",0,"WCP"
,,,"WCS","[mL/cm3]","Porosity/saturated volumetric water content (soil)","Specific",,,,,,"",,"Fate_constant:Soil",0,"WCS"
,,,"WSpH","[pH units]","Soil pH (watershed)","Specific",,,,,,"",,"Fate_constant:Soil",0,"WSpH"
,,,"X","[m]","Flowlength (watershed)","Specific",,,,,,"",,"Fate_constant:Derived",0,"X"
,,,"zava","[m]","Upper averaging depth for soil concentration","Specific",,,,,,"",,"Fate_constant:Derived",0,"zavg_upper"
,,,"zavb","[m]","Lower averaging depth for soil concentration","Specific",,,,,,"",,"Fate_constant:Derived",0,"zavg_lower"
,,,"zruf","[cm]","Roughness height (field)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"zruf"
,,,"Zt","[cm]","Mixing depth of tilled soil (field)","Specific",,,,,,"",,"Fate_constant:Constant",0,"Zmix_tilled"
,,,"Zu","[cm]","Mixing depth of untilled soil (field)","Specific",,,,,,"",,"Fate_constant:Constant",0,"Zmix_untilled"
,,,"zZ1sa","[m]","Depth of modeled soil column","Specific",,,,,,"",,"Fate_constant:Derived",0,"Zmodeled"
,,,"zZ1WMU","[m]","Tilling depth","Specific",,,,,,"",,"Fate_constant:Constant",0,"Ztilling"
,,,"zZ2WMU","[m]","Subsoil layer thickness","Specific",,,,,,"",,"Fate_constant:Derived",0,"Zsubsoil"
,"Chemical","Chemical Property","Density","[g/cm3]","Density (chemical)","Chemical Specific",,"requred for inorganics","Constant",0.00,23.00,"",,"Chemical_constant",0,"Density"
,"Chemical","Chemical Property","MW","[g/mol]","Molecular weight","Chemical specific",,"required","Constant",6.00,1000.00,"289.55",,"Chemical_constant",0,"MW"
,"Chemical","Chemical Property","Sol","[mg/L]","Solubility","Chemical specific",,"required, >0","Constant",1.0e-12,1.0e+06,"5.5",,"Chemical_constant",0,"Sol"
,"Chemical","Chemical Property","tb","[deg C]","Boiling point","Chemical specific",,"default -9999","Constant",0.00,5000.00,"285",,"Chemical_constant",0,"tb"
,"Chemical","Chemical Property","UseRfDPath","NA","True if pathway-specific value is to be used","Chemical specific",,,"Constant",-1.00,0.00,"0",,"Chemical_constant",0,"UseRfDPath"
"BreastMilkMediaRisk","Exposure",,"ED_1","[yrs]","Exposure duration (child aged 1-5)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child1-5"
"BreastMilkMediaRisk","Exposure",,"ED_2","[yrs]","Exposure duration (child aged 6-11)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child6-11"
"BreastMilkMediaRisk","Exposure",,"ED_3","[yrs]","Exposure duration (child aged 12-19)","Run Specific",140,,"Distribution",,,"13",,"Exposure_constant",0,"ED_child12-19"
"BreastMilkMediaRisk","Exposure",,"ED_4","[yrs]","Exposure duration (adult)","Receptor Specific",140,,"Distribution",,,"48",,"Exposure_constant",0,"ED_adult"
"BreastMilkRisk","Exposure",,"AT","[yrs]","Averaging time for human exposure (cancer)","70",165,,"Constant",,,"70",,"tbl_Model_Parameters:ExpFactor",0,"AT"
"Media","Chemical","Biotransfer","Bs","[fraction]","Bioavailability of contaminant in soil relative to vegetation","Chemical Specific",,"default 1","Constant",0.00,1.00,"1",,"Chemical_constant",0,"Bs"
"Media","Chemical","Chemical Property","Kanaer","[1/day]","Anaerobic degradation rate (sediment)","Chemical Specific",,"default 0","Constant",0.00,2.00,"0.0099",,"Chemical_constant",0,"Kanaer"
"Media","Chemical","Chemical Property","Kd","[L/kg]","Soil-water partition coefficient","Chemical Specific",,"required for inorganics","Distribution",0.00,10000.00,"",,"Chemical_constant",0,"Kd"
"Media","Chemical","Chemical Property","Kh","[1/day]","Hydrolysis rate","Chemical Specific",,"default 0","Constant",0.00,50.00,"0",,"Chemical_constant",0,"Kh"
"Media","Chemical","Chemical Property","Koc","[mL/g]","Organic carbon partition coefficient","Chemical Specific",,"required","Constant",0.00,1.0e+09,"15850",,"Chemical_constant",0,"Koc"
